"Config","arm_type","t","median_l2","q25_l2","q75_l2","n_rep"
"TS (q=0.25, T1=200, T2=8)","TS",82,0.545794562192773,0.489174873000574,0.623410099482631,100
"TS (q=0.25, T1=200, T2=8)","TS",83,0.527386523368189,0.472698296770647,0.599647598432467,100
"TS (q=0.25, T1=200, T2=8)","TS",84,0.509795259140066,0.456925379724156,0.577356395362076,100
"TS (q=0.25, T1=200, T2=8)","TS",85,0.493143206300253,0.441496877064602,0.559784430248263,100
"TS (q=0.25, T1=200, T2=8)","TS",86,0.477783790101067,0.42671706785061,0.543251609146792,100
"TS (q=0.25, T1=200, T2=8)","TS",87,0.463100180233415,0.411672109508974,0.525344679672666,100
"TS (q=0.25, T1=200, T2=8)","TS",88,0.448253163948103,0.39921110232955,0.506894140853495,100
"TS (q=0.25, T1=200, T2=8)","TS",89,0.433728109004232,0.385066521449905,0.489484050209306,100
"TS (q=0.25, T1=200, T2=8)","TS",90,0.420525534655039,0.371398374610807,0.474719408956446,100
"TS (q=0.25, T1=200, T2=8)","TS",91,0.406364304680226,0.361964386429414,0.461742338173518,100
"TS (q=0.25, T1=200, T2=8)","TS",92,0.394357254182186,0.351384595056095,0.447326091457917,100
"TS (q=0.25, T1=200, T2=8)","TS",93,0.383783219665776,0.341313803080508,0.435214408464689,100
"TS (q=0.25, T1=200, T2=8)","TS",94,0.372547349756892,0.330780868428539,0.425079291298174,100
"TS (q=0.25, T1=200, T2=8)","TS",95,0.36178055486049,0.320899143692327,0.415354343705823,100
"TS (q=0.25, T1=200, T2=8)","TS",96,0.350828513842431,0.310994951174124,0.40567200875493,100
"TS (q=0.25, T1=200, T2=8)","TS",97,0.342544403302902,0.300492126941944,0.393708775522789,100
"TS (q=0.25, T1=200, T2=8)","TS",98,0.332908112898555,0.290636378046978,0.382316479287837,100
"TS (q=0.25, T1=200, T2=8)","TS",99,0.323593604701244,0.282096770076021,0.376088215231137,100
"TS (q=0.25, T1=200, T2=8)","TS",100,0.317215268507777,0.276700060392056,0.368362309613459,100
"TS (q=0.25, T1=200, T2=8)","TS",101,0.3118377021608,0.270817295890557,0.359249122694756,100
"TS (q=0.25, T1=200, T2=8)","TS",102,0.305891060044513,0.264798411830457,0.350034085128187,100
"TS (q=0.25, T1=200, T2=8)","TS",103,0.299845798389945,0.260718363270801,0.342051756727068,100
"TS (q=0.25, T1=200, T2=8)","TS",104,0.295277903440904,0.256333108710017,0.333909328527046,100
"TS (q=0.25, T1=200, T2=8)","TS",105,0.290503838001559,0.252078431921648,0.326621883621249,100
"TS (q=0.25, T1=200, T2=8)","TS",106,0.285676944750708,0.247884014931543,0.319918905809307,100
"TS (q=0.25, T1=200, T2=8)","TS",107,0.279949307848149,0.243332984219396,0.313263838779219,100
"TS (q=0.25, T1=200, T2=8)","TS",108,0.275526801183868,0.240368960547076,0.306193422931194,100
"TS (q=0.25, T1=200, T2=8)","TS",109,0.270147111241599,0.239461142907467,0.300209889884118,100
"TS (q=0.25, T1=200, T2=8)","TS",110,0.264872333505478,0.236882099749024,0.297471335074641,100
"TS (q=0.25, T1=200, T2=8)","TS",111,0.260665803992318,0.233368762628473,0.294316715425724,100
